date,close_price,miners_revenue,difficulty,hash_rate,median_confirmation_time,avg_block_size,n_unique_addresses,n_transactions_per_block,n_transactions,cost_per_transaction_percent
2023-10-05,27797.56,25110031.20892198,57321508229258.0,401774935.7811363,7.783333333333333,1.518329730496454,687363.0,2264.6099290780144,319310.0,0.957159101552557
2023-10-06,27416.69,28870637.172927104,57321508229258.0,455914820.74455184,7.475,1.4546465375000006,679001.0,1866.5625,298650.0,1.201332326760142
2023-10-07,27946.61,31014954.909119453,57321508229258.0,487258964.67073977,5.4,1.5860424210526316,596825.0,1430.2163742690059,244567.0,1.7666980311455165
2023-10-08,27973.26,27314613.070051916,57321508229258.0,421721209.1887104,5.8125,1.8457732770270265,557949.0,1638.1081081081081,242440.0,2.240739744577944
2023-10-09,27937.18,27541014.339650355,57321508229258.0,444516950.225938,6.308333333333334,1.8119598846153855,599404.0,1818.2564102564102,283648.0,1.2761900016689822
2023-10-10,27581.42,28707330.94272675,57321508229258.0,461613756.0038587,5.8875,1.7712977592592605,629505.0,1759.6296296296296,285060.0,0.7511250559386828
2023-10-11,27395.65,27666095.64227482,57321508229258.0,455914820.74455184,5.8875,1.47117684375,607097.0,1653.75,264600.0,0.7159896429327085
2023-10-12,26867.79,28303571.441823736,57321508229258.0,470162158.89281905,6.616666666666666,1.375921575757575,624747.0,1618.7272727272727,267090.0,1.037175836180239
2023-10-13,26758.66,24087147.492945295,57321508229258.0,393226532.892176,7.275,1.5206309637681161,662518.0,2025.4927536231885,279518.0,0.9946709643429227
2023-10-14,26866.51,25258288.02604316,57321508229258.0,416022273.9294035,5.541666666666667,1.7656622260273975,612783.0,1816.5753424657535,265220.0,1.6186915413447223
2023-10-15,26855.89,28431414.424704663,57321508229258.0,475861094.15212595,5.016666666666667,1.8809289820359285,571061.0,1508.5209580838323,251923.0,2.1817898907735924
2023-10-16,27167.87,25518086.84010881,59373391582489.234,416156889.9191482,8.7,1.676824652482269,652765.0,2126.113475177305,299782.0,0.693993519934242
2023-10-17,28517.32,30742974.361832604,61030681983176.0,491483968.444345,6.5,1.6921419135802467,645537.0,1816.4012345679012,294257.0,0.7192181813671807
2023-10-18,28413.17,26281695.00654422,61030681983176.0,439908490.27425945,7.983333333333333,1.6081916482758627,613906.0,1871.344827586207,271345.0,0.5872493049181536
2023-10-19,28331.5,25797505.892024655,61030681983176.0,424739231.98894006,8.383333333333333,1.7076567499999995,649723.0,2014.3357142857142,282007.0,0.8442549036089307
2023-10-20,28723.49,26023036.304821745,61030681983176.0,406536122.04655695,8.483333333333334,1.5260257388059704,705226.0,2208.1194029850744,295888.0,0.5162599248384635
2023-10-21,29682.6,28815660.222291574,61030681983176.0,455077748.5595787,7.058333333333334,1.5068115466666676,640544.0,1804.14,270621.0,1.6715620316992026
2023-10-22,29921.68,28981484.98366903,61030681983176.0,464179303.53077024,5.683333333333334,1.6526836143790853,577606.0,1650.045751633987,252457.0,1.8219467218789909
